genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,cluster,closest_mood
Alternative,Janelle Monáe,Yoga,3IJCSQoLF4YzPAKaxq2JLb,54,0.0159,0.74,217679,0.546,8.41e-05,G,0.209,-5.674,0,0.0498,130.028,4/4,0.375,,
Alternative,Deftones,Minerva,1gzWd0ILFaCoHUfQSkCIvl,54,0.000152,0.349,257813,0.934,0.623,D#,0.281,-5.518,0,0.0644,124.055,4/4,0.0788,,
Alternative,Chris Cornell,"You Know My Name - From ""Casino Royale"" Soundtrack",4MR9iW77LJoPPDjwAYbIZZ,46,0.0198,0.365,240227,0.863,0.0,B,0.335,-3.328,0,0.0443,137.469,4/4,0.42,,
Alternative,All That Remains,This Calling,2vH5Fy44mcCDUrUk0XbvfH,50,1.1e-05,0.542,218533,0.986,0.000798,D,0.313,-2.663,0,0.0968,108.059,4/4,0.265,,
Alternative,Red,Let It Burn,6FlCPO7Z0QGgwtIL8ocZzY,52,0.000431,0.42,297827,0.899,0.000245,B,0.23,-5.446,0,0.0745,132.016,4/4,0.193,,
Alternative,The Neighbourhood,Let It Go,6cWpj6c5pNZYEk5KYjNBji,54,0.0156,0.49,197267,0.79,0.00118,F,0.219,-4.833,0,0.0699,149.903,4/4,0.285,,
Alternative,Switchfoot,NATIVE TONGUE,4zPmVJ51QlCimfTrQIqQiV,53,0.00434,0.586,278133,0.895,0.0,F#,0.37,-5.223,0,0.117,127.998,4/4,0.312,,
Alternative,Sabrina Claudio,Belong to You,0MDYvPEc9CFp2vkth6eoOQ,53,0.272,0.57,186000,0.536,0.032,A#,0.34,-10.317,0,0.0552,152.13,4/4,0.443,,
Alternative,The 1975,Milk,0fzqnqxwSh5Bmq8sY9tFb9,53,0.00563,0.434,132547,0.986,0.0757,A#,0.314,-5.442,0,0.309,143.071,4/4,0.144,,
Alternative,System Of A Down,Innervision,0Xmbtw7NhNiDnL4BWy5wDh,54,0.000201,0.446,153773,0.953,0.0241,F,0.357,-2.268,0,0.0989,120.013,4/4,0.232,,
Alternative,Janelle Monáe,Screwed (feat. Zoë Kravitz),1Z2MfAx1nJ09NzGjodnvRW,55,0.0441,0.73,302492,0.681,0.000245,G#,0.27,-7.582,0,0.0405,106.017,4/4,0.446,,
Alternative,Hombres G,Devuelveme a mi chica,6pYbhX5gYix4ESpbSUArnA,64,0.0143,0.585,194560,0.948,3.36e-05,A,0.331,-5.062,0,0.0869,172.365,4/4,0.42,,
Alternative,Atreyu,Ex's And Oh's,2gY3Z3f1Qe4vWnw15dBkSw,53,1.7e-05,0.336,211893,0.986,0.0417,D,0.24,-3.155,0,0.24,159.934,4/4,0.163,,
Alternative,Five Finger Death Punch,American Capitalist,1Y2wM5iV2YULWZKFrWwQLf,47,7.27e-06,0.484,208440,0.995,0.00198,C#,0.208,-3.892,0,0.238,150.04,4/4,0.0436,,
Alternative,Rammstein,AMERIKA,33ayEZDfgARpadIdqo87JQ,54,0.00377,0.609,226760,0.874,2.4e-05,D,0.419,-4.24,0,0.0966,125.045,4/4,0.428,,
Alternative,Kali Uchis,Speed,0JmO3EBtl9qhnLkzr4FiP0,49,0.078,0.584,255184,0.508,0.0,A,0.246,-6.68,0,0.0617,169.975,3/4,0.186,,
Alternative,Halestorm,Amen,6WXN5Pvim9BKB6Wb765II5,51,0.0567,0.555,178227,0.974,0.0,E,0.202,-3.691,0,0.152,159.943,4/4,0.369,,
Alternative,Foo Fighters,Bridge Burning,0bHD1nLe7Nhw55ZGJ92332,55,2.86e-05,0.42,286467,0.914,0.0282,F#,0.22,-4.322,0,0.0431,170.199,4/4,0.301,,
Alternative,Marilyn Manson,The Dope Show,1KQxH1Z1BiSo3MMukVpRfl,55,1.19e-05,0.559,226733,0.696,0.000407,E,0.884,-7.746,0,0.0414,134.952,4/4,0.382,,
Alternative,Korn,Make Me Bad,286ek1kspX7VFaheXFSvPk,55,0.000192,0.532,235613,0.797,0.0252,B,0.229,-6.889,0,0.0499,110.006,4/4,0.417,,
Alternative,Crossfade,So Far Away,2tHImX6L0zzQKyle2E99O4,49,0.000105,0.503,205520,0.942,0.0,E,0.248,-5.025,0,0.094,106.039,4/4,0.4,,
Alternative,Nine Inch Nails,The Perfect Drug,14tKBoKXxGakkoEmYuFfor,51,0.0207,0.627,315440,0.883,0.00346,F,0.323,-8.988,0,0.0947,149.024,4/4,0.252,,
Alternative,Death Grips,I've Seen Footage,7nCONy10IHp7XD3oYZ0lcx,53,0.0481,0.603,202853,0.944,0.0,B,0.342,-3.626,0,0.347,130.035,4/4,0.418,,
Alternative,Linkin Park,Until It's Gone,2n1jBz26dVBtSbMvJNjGsu,56,0.0172,0.47,233240,0.878,0.054,E,0.235,-3.391,0,0.0429,114.986,4/4,0.322,,
Alternative,Phantogram,Fall In Love,5imUTBF35uIoABlV9g9da2,52,0.0416,0.348,223227,0.856,0.0,D,0.203,-3.216,0,0.0979,188.046,4/4,0.269,,
Alternative,Sabrina Claudio,Come Here,4BTMGOsnbzI76XYTxAn5K8,51,0.826,0.551,242011,0.517,0.00659,B,0.391,-8.605,0,0.0499,140.02,4/4,0.199,,
Alternative,Weezer,Happy Together,3KxOYNt66Hj42HzO7ao0CV,52,0.171,0.444,145640,0.943,6.59e-06,F#,0.297,-3.724,0,0.104,125.896,4/4,0.411,,
Alternative,A Perfect Circle,Blue,6tgTTBaIf0tO6lvDhoXfMg,49,0.0107,0.413,253667,0.783,0.0464,E,0.247,-8.233,0,0.0741,177.882,4/4,0.31,,
Alternative,NEEDTOBREATHE,HARD LOVE,0xcFH3973DZauDkGnNjMgm,50,0.0231,0.387,214627,0.843,0.0,C,0.503,-4.221,0,0.0539,168.149,4/4,0.378,,
Alternative,Nonpoint,Breaking Skin,3uleUeZ5eyYCNGiwcc1Exp,50,0.000116,0.496,174547,0.933,0.0143,F,0.27,-2.693,0,0.048,105.008,4/4,0.448,,
Alternative,The Black Keys,Black Mud,2y42MmBCfEhqIkFAJs0V8Z,49,0.253,0.515,129440,0.502,0.883,B,0.345,-8.898,0,0.058,143.937,4/4,0.374,,
Alternative,Marilyn Manson,Personal Jesus,0Y3uvjA2ssDylY2h5oiB7T,51,0.0003,0.572,246667,0.944,0.00648,E,0.669,-5.231,0,0.139,130.14,4/4,0.268,,
Alternative,Evans Blue,This Time It's Different,7079nY1EuvdfIxaMYaTjR9,52,0.000934,0.32,209092,0.864,0.0488,F,0.37,-4.882,0,0.0549,109.54,5/4,0.277,,
Alternative,Injury Reserve,Wax On (Feat. Freddie Gibbs),13yFBO0mxphhrphW3s6dx2,52,0.182,0.666,267947,0.861,0.0,E,0.342,-4.819,0,0.327,158.024,4/4,0.436,,
Alternative,HELLYEAH,Oh My God,5KeMe6s7NC1h9Xg7CgDbYO,53,0.000368,0.315,252689,0.975,0.0,F#,0.248,-2.912,0,0.198,159.455,3/4,0.35,,
Alternative,Microwave,Lighterless,3oOWbDgCfzrA6F1pSsQOYg,45,0.000642,0.461,246933,0.875,0.0156,C#,0.384,-4.945,0,0.0466,132.099,4/4,0.348,,
Alternative,Coheed and Cambria,The Dark Sentencer,0mP3O68nZjScrbgiD9UilH,47,0.00106,0.324,464520,0.969,3.86e-05,B,0.247,-5.26,0,0.167,119.994,4/4,0.303,,
Alternative,Metric,Help I'm Alive,1z4xjDLLWJgG48Bn8OCxZv,56,0.00813,0.565,285920,0.877,0.00251,F,0.26,-4.561,0,0.0614,118.484,4/4,0.389,,
Alternative,Slipknot,Everything Ends,11SQnfm9cxgIjRREQWgbsP,54,7.8e-05,0.467,254107,0.992,0.00175,B,0.41,-3.218,0,0.175,115.209,4/4,0.317,,
Alternative,Three Days Grace,It's All Over,2QZxpZDfJjhEGclSszvMVX,50,0.00305,0.321,249320,0.82,0.0,C,0.34,-4.459,0,0.0422,166.859,4/4,0.198,,
Alternative,Incubus,Megalomaniac,1rSo624QuuCteNxAzsU3SV,47,0.0056,0.532,294800,0.943,0.000587,G,0.317,-4.549,0,0.0512,140.042,4/4,0.371,,
Alternative,for KING & COUNTRY,God Only Knows (R3HAB Remix),7CTyBvcRHWso8oUcvyNkLt,52,0.19,0.542,155000,0.695,0.000184,B,0.515,-7.566,0,0.0559,144.007,4/4,0.435,,
Alternative,Pop Evil,A Crime To Remember,4YsnD5GTI8nVBUXkmlqur4,49,0.011,0.551,202762,0.914,6.09e-05,G,0.321,-4.147,0,0.0934,129.803,4/4,0.419,,
Alternative,LEDGER,Not Dead Yet,4hCkgJwyn7KfnfFSvYf8wF,46,0.000402,0.421,216013,0.951,0.000762,G,0.594,-1.435,0,0.0544,163.903,4/4,0.262,,
Alternative,Nothing More,Don't Stop,4OAGbsFAlS4bpcn056fpRX,46,0.000159,0.607,254733,0.945,0.0756,A,0.206,-5.667,0,0.111,109.989,4/4,0.377,,
Alternative,Masego,I DO EVERYTHING!,2LgEYzVoSKp6fsST6trUh2,49,0.521,0.76,363376,0.393,0.000668,C#,0.796,-11.219,0,0.525,135.293,4/4,0.34,,
Alternative,Pearl Jam,Rearviewmirror (Remastered),5XtyytAig4m3HkO2XXaL9l,54,0.00146,0.373,283467,0.961,0.000374,B,0.351,-5.387,0,0.0657,158.863,4/4,0.437,,
Alternative,Red Hot Chili Peppers,This Velvet Glove,0GIDR7iLJgV5fJwdcv8TXo,54,0.0706,0.607,225200,0.953,2.94e-05,D,0.213,-1.744,0,0.0471,118.885,4/4,0.315,,
Alternative,Hollywood Undead,Young,5koyOdvQU9AUgPMA14N4mD,49,0.00175,0.521,196373,0.936,0.0,C,0.61,-4.3,0,0.0812,134.119,4/4,0.409,,
Alternative,Bad Wolves,Officer Down,5PkX5JJ5iBoj3kQG1ZxsKW,47,4.32e-06,0.437,209051,0.978,0.265,F,0.386,-3.494,0,0.136,160.105,4/4,0.449,,
Alternative,Meshuggah,Bleed,4E6wpXABj8XosZEPXZz2OK,52,8.12e-06,0.242,442733,0.998,0.88,D#,0.284,-5.64,0,0.0895,114.831,4/4,0.18,,
Alternative,Billy Talent,Try Honesty,3fPSHjVO4iwwGEhHvTwlNb,57,0.000141,0.462,253707,0.984,4.28e-05,F#,0.377,-3.559,0,0.114,156.921,4/4,0.327,,
Alternative,Three Days Grace,So What,79HeGKO8bLZjvSyVidqTiq,52,0.00187,0.514,177667,0.957,0.0,G,0.412,-3.505,0,0.0477,142.018,4/4,0.428,,
Alternative,Light The Torch,Calm Before the Storm,6WortO2DtGmzG1QCAOZcsW,49,1.34e-05,0.377,235013,0.975,0.00344,D,0.268,-4.31,0,0.171,163.168,4/4,0.311,,
Alternative,Crystal Castles,Not In Love - Radio Version,46Xnj8vZFwOZCE4aZNXlTf,56,0.00172,0.487,226987,0.98,0.00282,G,0.358,-4.21,0,0.0868,135.93,4/4,0.175,,
Alternative,Coheed and Cambria,In Keeping Secrets of Silent Earth: 3,44oenYNFrmOCz85bAcwN5t,46,0.00693,0.325,492307,0.869,0.000124,C#,0.224,-5.46,0,0.132,159.229,3/4,0.347,,
Alternative,GoldLink,Pray Everyday (Survivor's Guilt),0nNY7kR1TjRcZYAMi08rCy,51,0.0518,0.755,227704,0.459,9.42e-06,A#,0.233,-8.58,0,0.299,150.01,4/4,0.38,,
Alternative,Avenged Sevenfold,I Won't See You Tonight Part 1,0X0fvHVXgFX8413g1dcn6Y,50,0.000456,0.388,538333,0.719,0.00595,G,0.218,-5.109,0,0.0491,129.839,4/4,0.102,,
Country,Jelly Roll,Tennessee Rap,0E0DE2QX5Q3kg39jdkVeDN,39,0.0148,0.532,152256,0.544,5.81e-05,F#,0.451,-9.293,0,0.165,115.004,4/4,0.156,,
Country,Jelly Roll,Long Long Time,3hliI7ammMC4VmlphaL4TH,39,0.0153,0.571,200294,0.703,1.41e-05,B,0.342,-8.33,0,0.167,151.94,4/4,0.285,,
Country,Bubba Sparxxx,Put in Work,7jQIEyRMj8H6QqIOYT0dHV,44,0.116,0.758,211888,0.601,0.0,C#,0.259,-7.634,0,0.314,168.187,4/4,0.29,,
Country,Lenny Cooper,Big Tires,4s76pSGM8Tq7708jf625yq,38,0.00317,0.916,215400,0.52,0.0,C#,0.381,-9.429,0,0.0718,118.998,4/4,0.292,,
Country,Jelly Roll,Goodnight Shirley,58mNIWeH9DnwKMPeM3lyHb,37,0.000345,0.536,174627,0.697,0.000572,F,0.508,-7.228,0,0.0655,135.813,4/4,0.406,,
Country,Outlaw,Backwoods Badass (Remix) [feat. Redneck Souljers],41Z9o8LRIyrEPya2OmB3Qp,37,0.405,0.58,182500,0.837,0.0,B,0.224,-4.464,0,0.363,173.986,4/4,0.229,,
Country,Handz Onn,Flex'd,6JdhSiYJi5xaHlC2vyqP9C,37,0.012,0.833,177946,0.58,0.0,G#,0.553,-10.615,0,0.209,127.944,4/4,0.37,,
Country,Kenny Chesney,Somewhere with You - Live,3u1SWj9rUNMCwxacrk8UVK,35,0.0371,0.552,268587,0.95,1.17e-05,C#,0.833,-5.205,0,0.0451,112.712,4/4,0.443,,
Country,Tech N9ne Collabos,Minimize,0OUf907oEBOYMvzDTpp98J,39,0.248,0.524,216360,0.772,0.0,F#,0.717,-4.467,0,0.137,171.819,4/4,0.337,,
Country,Chris LeDoux,Billy The Kid,6HwIPDL2mxDU9Xdr1fNJNl,35,0.0766,0.549,227493,0.587,4.23e-05,E,0.279,-10.557,0,0.043,120.821,4/4,0.422,,
Country,Jelly Roll,Gone Ride To,4zdlsu8oRItjR5GIsgcDcl,37,0.119,0.765,228003,0.716,2.57e-05,B,0.466,-6.791,0,0.0725,120.003,4/4,0.351,,
Country,Tech N9ne Collabos,Strangeulation Vol. II Cypher I,3Gy3pC2iuBEFXZ8Y1bgWtJ,38,0.258,0.696,172309,0.802,0.0,A#,0.692,-4.605,0,0.297,155.968,4/4,0.426,,
